andrej@andrej:~$ ps -ef
UID        PID  PPID  C STIME TTY          TIME CMD
root         1     0  5 17:55 ?        00:00:02 /sbin/init splash
root         2     0  0 17:55 ?        00:00:00 [kthreadd]
root         3     2  0 17:55 ?        00:00:00 [rcu_gp]
root         4     2  0 17:55 ?        00:00:00 [rcu_par_gp]
root         5     2  0 17:55 ?        00:00:00 [kworker/0:0-eve]
root         6     2  0 17:55 ?        00:00:00 [kworker/0:0H-kb]
root         7     2  0 17:55 ?        00:00:00 [kworker/u4:0-ev]
root         8     2  0 17:55 ?        00:00:00 [mm_percpu_wq]
root         9     2  0 17:55 ?        00:00:00 [ksoftirqd/0]
root        10     2  0 17:55 ?        00:00:00 [rcu_sched]
root        11     2  0 17:55 ?        00:00:00 [migration/0]
root        12     2  0 17:55 ?        00:00:00 [idle_inject/0]
root        13     2  0 17:55 ?        00:00:00 [kworker/0:1-cgr]
root        14     2  0 17:55 ?        00:00:00 [cpuhp/0]
root        15     2  0 17:55 ?        00:00:00 [cpuhp/1]
root        16     2  0 17:55 ?        00:00:00 [idle_inject/1]
root        17     2  0 17:55 ?        00:00:00 [migration/1]
root        18     2  0 17:55 ?        00:00:00 [ksoftirqd/1]
root        19     2  0 17:55 ?        00:00:00 [kworker/1:0-cgr]
root        20     2  0 17:55 ?        00:00:00 [kworker/1:0H-kb]
root        21     2  0 17:55 ?        00:00:00 [kdevtmpfs]
root        22     2  0 17:55 ?        00:00:00 [netns]
root        23     2  0 17:55 ?        00:00:00 [rcu_tasks_kthre]
root        24     2  0 17:55 ?        00:00:00 [kauditd]
root        25     2  0 17:55 ?        00:00:00 [khungtaskd]
root        26     2  0 17:55 ?        00:00:00 [oom_reaper]
root        27     2  0 17:55 ?        00:00:00 [writeback]
root        28     2  0 17:55 ?        00:00:00 [kcompactd0]
root        29     2  0 17:55 ?        00:00:00 [ksmd]
root        30     2  0 17:55 ?        00:00:00 [khugepaged]
root        76     2  0 17:55 ?        00:00:00 [kintegrityd]
root        77     2  0 17:55 ?        00:00:00 [kblockd]
root        78     2  0 17:55 ?        00:00:00 [blkcg_punt_bio]
root        79     2  0 17:55 ?        00:00:00 [kworker/u4:1-ev]
root        80     2  0 17:55 ?        00:00:00 [tpm_dev_wq]
root        81     2  0 17:55 ?        00:00:00 [ata_sff]
root        82     2  0 17:55 ?        00:00:00 [md]
root        83     2  0 17:55 ?        00:00:00 [edac-poller]
root        84     2  0 17:55 ?        00:00:00 [devfreq_wq]
root        85     2  0 17:55 ?        00:00:00 [watchdogd]
root        86     2  0 17:55 ?        00:00:00 [kworker/1:1-cgr]
root        88     2  0 17:55 ?        00:00:00 [kswapd0]
root        89     2  0 17:55 ?        00:00:00 [ecryptfs-kthrea]
root        91     2  0 17:55 ?        00:00:00 [kthrotld]
root        92     2  0 17:55 ?        00:00:00 [acpi_thermal_pm]
root        94     2  0 17:55 ?        00:00:00 [kworker/u4:2-ph]
root        95     2  0 17:55 ?        00:00:00 [kworker/u4:3-ev]
root        96     2  0 17:55 ?        00:00:00 [kworker/1:2-cgr]
root        97     2  0 17:55 ?        00:00:00 [ipv6_addrconf]
root       106     2  0 17:55 ?        00:00:00 [kstrp]
root       109     2  0 17:55 ?        00:00:00 [kworker/u5:0-hc]
root       122     2  0 17:55 ?        00:00:00 [kworker/0:2-cgr]
root       123     2  0 17:55 ?        00:00:00 [charger_manager]
root       145     2  0 17:55 ?        00:00:00 [kworker/1:3-cgr]
root       160     2  0 17:55 ?        00:00:00 [kworker/0:3-eve]
root       161     2  0 17:55 ?        00:00:00 [kworker/1:4-rcu]
root       162     2  0 17:55 ?        00:00:00 [scsi_eh_0]
root       163     2  0 17:55 ?        00:00:00 [scsi_tmf_0]
root       164     2  0 17:55 ?        00:00:00 [scsi_eh_1]
root       165     2  0 17:55 ?        00:00:00 [scsi_tmf_1]
root       166     2  0 17:55 ?        00:00:00 [scsi_eh_2]
root       167     2  0 17:55 ?        00:00:00 [scsi_tmf_2]
root       168     2  0 17:55 ?        00:00:00 [scsi_eh_3]
root       169     2  0 17:55 ?        00:00:00 [scsi_tmf_3]
root       170     2  0 17:55 ?        00:00:00 [kworker/u4:4-ev]
root       171     2  0 17:55 ?        00:00:00 [kworker/u4:5]
root       172     2  0 17:55 ?        00:00:00 [kworker/0:1H-kb]
root       200     2  0 17:55 ?        00:00:00 [kworker/1:1H-kb]
root       203     2  0 17:55 ?        00:00:00 [jbd2/sda1-8]
root       204     2  0 17:55 ?        00:00:00 [ext4-rsv-conver]
root       239     1  1 17:55 ?        00:00:00 /lib/systemd/systemd-journald
root       261     1  1 17:55 ?        00:00:00 /lib/systemd/systemd-udevd
root       266     2  0 17:55 ?        00:00:00 [kworker/0:4-cgr]
root       267     2  0 17:55 ?        00:00:00 [kworker/0:5-eve]
root       285     2  0 17:55 ?        00:00:00 [loop0]
root       288     2  0 17:55 ?        00:00:00 [loop1]
systemd+   354     1  0 17:55 ?        00:00:00 /lib/systemd/systemd-resolved
systemd+   356     1  0 17:55 ?        00:00:00 /lib/systemd/systemd-timesyncd
root       385     2  0 17:55 ?        00:00:00 [asus_wireless_w]
root       393     2  0 17:55 ?        00:00:00 [irq/26-mei_me]
root       406     2  0 17:55 ?        00:00:00 [cfg80211]
root       416     2  0 17:55 ?        00:00:00 [led_workqueue]
root       514     1  0 17:55 ?        00:00:00 /usr/lib/udisks2/udisksd
root       515     1  0 17:55 ?        00:00:00 /usr/sbin/cupsd -l
